,percent_broken,percent_fail_runs,rul_score,mse
cmapss_one2three_jan,0.0,1.0,53.5652734375,38.11993408203125
cmapss_one2three_jan,0.0,1.0,39.7527392578125,34.745845794677734
cmapss_one2three_jan,0.0,0.8,39.86678955078125,38.25384521484375
cmapss_one2three_jan,0.0,0.8,49.7081298828125,38.0712776184082
cmapss_one2three_jan,0.0,0.8,11.403331298828125,25.847755432128906
cmapss_one2three_jan,0.0,0.6,51.9152197265625,38.54448699951172
cmapss_one2three_jan,0.0,0.6,49.382822265625,38.31377029418945
cmapss_one2three_jan,0.0,0.6,18.01883544921875,30.44667625427246
cmapss_one2three_jan,0.0,0.4,51.4941064453125,37.83754348754883
cmapss_one2three_jan,0.0,0.4,47.61923828125,37.142860412597656
cmapss_one2three_jan,0.0,0.4,14.91208984375,29.402690887451172
cmapss_one2three_jan,0.0,0.2,50.6269384765625,37.40633010864258
cmapss_one2three_jan,0.0,0.2,50.5116796875,36.927940368652344
cmapss_one2three_jan,0.0,0.2,11.91967529296875,24.283912658691406
cmapss_one2three_jan,0.2,1.0,43.299013671875,40.27861022949219
cmapss_one2three_jan,0.2,1.0,43.24552734375,33.989715576171875
cmapss_one2three_jan,0.2,1.0,76.1785009765625,45.070499420166016
cmapss_one2three_jan,0.2,0.8,47.168984375,42.1946907043457
cmapss_one2three_jan,0.2,0.8,51.8709716796875,35.62485122680664
cmapss_one2three_jan,0.2,0.8,72.35171875,45.24201965332031
cmapss_one2three_jan,0.2,0.6,69.186904296875,41.430728912353516
cmapss_one2three_jan,0.2,0.6,38.9811767578125,34.63631820678711
cmapss_one2three_jan,0.2,0.6,69.819619140625,44.958030700683594
cmapss_one2three_jan,0.2,0.4,56.861201171875,41.42042922973633
cmapss_one2three_jan,0.2,0.4,64.23328125,38.439598083496094
cmapss_one2three_jan,0.2,0.4,68.94998046875,43.50975799560547
cmapss_one2three_jan,0.2,0.2,57.6512646484375,37.033531188964844
cmapss_one2three_jan,0.2,0.2,22.83803466796875,33.437538146972656
cmapss_one2three_jan,0.2,0.2,56.9128125,41.94647216796875
cmapss_one2three_jan,0.4,1.0,128.77115234375,46.10265350341797
